rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
1,211000,Fashion & Retail,Bernard Arnault & family,74,France,Paris,LVMH,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,False,U,M,1949-03-05 00:00:00,Arnault,Bernard,Chairman and CEO,4/4/2023 5:01,,,1949.0,3.0,5.0,110.05,1.1,-2147483648,66,103,82.5,24.2,61,67059887
2,180000,Automotive,Elon Musk,52,United States,Austin,"Tesla, SpaceX",Automotive,United States,Tesla,True,D,M,1971-06-28 00:00:00,Musk,Elon,CEO,4/4/2023 5:01,Texas,South,1971.0,6.0,28.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
3,114000,Technology,Jeff Bezos,59,United States,Medina,Amazon,Technology,United States,Amazon,True,D,M,1964-01-12 00:00:00,Bezos,Jeff,Chairman and Founder,4/4/2023 5:01,Washington,West,1964.0,1.0,12.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
4,107000,Technology,Larry Ellison,79,United States,Lanai,Oracle,Technology,United States,Oracle,True,U,M,1944-08-17 00:00:00,Ellison,Larry,CTO and Founder,4/4/2023 5:01,Hawaii,West,1944.0,8.0,17.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
5,106000,Finance & Investments,Warren Buffett,93,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),True,D,M,1930-08-30 00:00:00,Buffett,Warren,CEO,4/4/2023 5:01,Nebraska,Midwest,1930.0,8.0,30.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
6,104000,Technology,Bill Gates,68,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,True,D,M,1955-10-28 00:00:00,Gates,Bill,Cochair,4/4/2023 5:01,Washington,West,1955.0,10.0,28.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
7,94500,Media & Entertainment,Michael Bloomberg,81,United States,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,True,U,M,1942-02-14 00:00:00,Bloomberg,Michael,CEO,4/4/2023 5:01,New York,Northeast,1942.0,2.0,14.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecom,Telecom,Mexico,América Móvil,True,U,M,1940-01-28 00:00:00,Slim Helu,Carlos,Honorary Chairman,4/4/2023 5:01,,,1940.0,1.0,28.0,141.54,3.6,-2147483648,41,106,75.0,13.1,56,126014024
9,83400,Diversified,Mukesh Ambani,66,India,Mumbai,Diversified,Diversified,India,Reliance Industries,False,D,M,1957-04-19 00:00:00,Ambani,Mukesh,Founder and Chairman,4/4/2023 5:01,,,1957.0,4.0,19.0,180.44,7.7,-2147483648,29,113,69.4,11.2,50,1366417754
10,80700,Technology,Steve Ballmer,67,United States,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,True,D,M,1956-03-24 00:00:00,Ballmer,Steve,Owner,4/4/2023 5:01,Washington,West,1956.0,3.0,24.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,70,France,Paris,L'Oréal,Fashion & Retail,France,,False,U,F,1953-07-10 00:00:00,Bettencourt Meyers,Francoise,,4/4/2023 5:01,,,1953.0,7.0,10.0,110.05,1.1,-2147483648,66,103,82.5,24.2,61,67059887
12,79200,Technology,Larry Page,50,United States,Palo Alto,Google,Technology,United States,Alphabet,True,D,M,1973-03-26 00:00:00,Page,Larry,Cofounder and board member,4/4/2023 5:01,California,West,1973.0,3.0,26.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,La Coruna,Zara,Fashion & Retail,Spain,,True,U,M,1936-03-28 00:00:00,Ortega,Amancio,,4/4/2023 5:01,,,1936.0,3.0,28.0,110.96,0.7,-2147483648,89,103,83.3,14.2,47,47076781
14,76000,Technology,Sergey Brin,50,United States,Los Altos,Google,Technology,United States,Alphabet,True,D,M,1973-08-21 00:00:00,Brin,Sergey,Cofounder and board member,4/4/2023 5:01,California,West,1973.0,8.0,21.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
15,68000,Food & Beverage,Zhong Shanshan,69,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,,True,U,M,1954-12-01 00:00:00,Zhong,Shanshan,,4/4/2023 5:01,,,1954.0,12.0,1.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
16,64400,Technology,Mark Zuckerberg,39,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,True,D,M,1984-05-14 00:00:00,Zuckerberg,Mark,Cofounder,4/4/2023 5:01,California,West,1984.0,5.0,14.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
17,59000,Diversified,Charles Koch & family,88,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",False,D,M,1935-11-01 00:00:00,Koch,Charles,Chairman and CEO,4/4/2023 5:01,Kansas,Midwest,1935.0,11.0,1.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
17,59000,Diversified,Julia Koch & family,61,United States,New York,Koch Industries,Diversified,United States,,False,D,F,1962-04-12 00:00:00,Koch,Julia,,4/4/2023 5:01,New York,Northeast,1962.0,4.0,12.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
